species_strain	species	num_gene	num_strain_sample	sum_strain_depth	species_gene_frac	log_selected_gene_depth_ratio_std	num_geno_positions
100003_1	100003	4223	32	67.47943031247773	0.9933396764985728	0.2084842153180001	975
100003_11	100003	4415	11	38.7573702281482	0.9895337773549	0.2060886759938396	823
100003_12	100003	4958	24	137.79399821622465	0.994291151284491	0.2064869085660206	994
100003_131	100003	3870	6	9.341717500178817	0.9514747859181732	0.2083212541516158	966
100003_15	100003	3266	3	9.642768618444936	0.9552806850618458	0.202516238131099	888
100003_2	100003	4160	6	60.9727568676149	0.9952426260704093	0.1949971366049264	970
100003_20	100003	4294	6	10.531092919557468	0.9695528068506184	0.2066852427902567	205
100003_28	100003	3790	8	24.37183850453013	0.9828734538534728	0.1956380999591308	272
100003_3	100003	3650	11	26.74672640521252	0.9790675547098002	0.2053874332474538	867
100003_30	100003	3600	12	27.04825292998956	0.978116079923882	0.2073642709903524	237
100003_33	100003	4560	10	33.683153595875766	0.9914367269267363	0.2001002636495217	878
100003_35	100003	3315	4	10.284742874101768	0.9695528068506184	0.1958851180114139	856
100003_36	100003	3981	12	38.03322705691889	0.9866793529971456	0.1982048900425096	879
100003_4	100003	4158	8	23.19291632149384	0.9876308277830638	0.2012157024849427	440
100003_45	100003	4516	11	21.550184901963323	0.9743101807802094	0.2143994438255769	427
100003_47	100003	3397	11	22.92767924222516	0.9866793529971456	0.2133986334456535	894
100003_59	100003	4143	10	15.78434623216328	0.9790675547098002	0.2228318175485615	872
100003_6	100003	3968	38	192.51902796997345	0.9961941008563272	0.1947037235442939	891
100003_64	100003	3820	10	13.68576497365686	0.961941008563273	0.2146714630766831	337
100003_7	100003	4271	33	66.58159173151307	0.9914367269267363	0.2072309331452486	120
100003_9	100003	3662	7	26.36688284814636	0.9866793529971456	0.192034739103989	141
100003_98	100003	3555	7	16.437652690149395	0.972407231208373	0.1933826880981894	582
100013_1	100013	4219	6	164.92660526419698	0.9747899159663864	0.1879713597221412	15170
100013_2	100013	4306	3	32.24763982502656	0.9737394957983192	0.1844086598842761	6774
100016_0	100016	3058	7	18.4367788217171	0.9957627118644068	0.1716488132204483	81492
100016_1	100016	3035	36	39.947966592366	0.997457627118644	0.1690790579537341	76834
100016_16	100016	2918	11	29.648347612178256	0.997457627118644	0.1571747698111529	80953
100016_19	100016	3030	20	26.8282317890014	0.997457627118644	0.1625906880784292	76954
100016_2	100016	2816	13	11.493358548314276	0.9822033898305084	0.1647522488124119	79204
100016_21	100016	2790	13	20.894463851665304	0.994915254237288	0.1595853838892194	64811
100016_25	100016	2864	8	14.759032815953162	0.997457627118644	0.1625196617916678	17725
100016_3	100016	2972	18	28.089853052335123	0.9957627118644068	0.1588588435620383	80477
100016_6	100016	2896	10	11.890237215406604	0.9906779661016948	0.1669026461606097	4663
100016_8	100016	2888	11	8.952931205389106	0.9822033898305084	0.165041276477199	16704
100018_1	100018	2567	13	26.264352929664184	0.9812583668005356	0.1703011771009857	29099
100018_3	100018	2536	8	21.542729692880314	0.9892904953145916	0.1722159321144823	22139
100022_0	100022	3033	12	588.7429320815747	0.9977827050997784	0.18240224758662	7369
100022_1	100022	3235	21	228.45243455597915	1.0	0.1845246295044806	7298
100022_10	100022	3504	10	334.40667805857873	1.0	0.1865075300565634	7100
100022_100	100022	3740	8	70.87947293003353	1.0	0.1907543858509727	6129
100022_101	100022	3782	1	4.087727537338635	0.9789356984478936	0.2052140811798739	6098
100022_104	100022	3306	6	73.10541835847957	0.9966740576496674	0.1877055165786492	4266
100022_105	100022	4252	10	48.24685636076434	0.9988913525498893	0.2018039253882369	8605
100022_11	100022	3070	3	182.3946081240485	0.9977827050997784	0.1832916625948686	6725
100022_111	100022	4069	10	40.72827693482008	0.9977827050997784	0.207907385685657	7181
100022_113	100022	3693	4	21.050468811271813	0.9988913525498893	0.1940589542700404	8060
100022_117	100022	3966	10	37.55220854584333	0.9977827050997784	0.1926304474481135	7071
100022_118	100022	3868	5	68.40347476480147	1.0	0.2016185585170917	7052
100022_12	100022	3983	5	107.42119596615429	0.9988913525498893	0.2061548136586324	7244
100022_120	100022	3920	3	42.02080262431453	1.0	0.2060874045284352	7114
100022_121	100022	4197	3	34.13634845387597	0.9988913525498893	0.1970066107910551	7010
100022_125	100022	3537	1	5.784864459737514	0.9944567627494456	0.1978678672084031	7235
100022_127	100022	3248	2	20.843968020681647	0.9966740576496674	0.1890103308011224	6981
100022_13	100022	3098	23	417.17651039371833	0.9977827050997784	0.1837317448246369	7034
100022_14	100022	4514	8	115.29329123487264	1.0	0.2147332542227125	6806
100022_146	100022	3357	6	12.458578506267868	0.9889135254988912	0.192272320734	7707
100022_15	100022	3685	22	74.04499347664613	0.9988913525498893	0.1939484752541683	6865
100022_151	100022	3756	8	44.128921591163135	1.0	0.1906611635057858	7109
100022_152	100022	4546	6	18.79637430792756	0.9988913525498893	0.2082898687476534	7115
100022_156	100022	4582	1	2.127417648829467	0.9623059866962306	0.2384831656397713	8018
100022_164	100022	3440	1	4.612310228016507	0.9855875831485588	0.1976772837263104	7002
100022_166	100022	3805	8	51.978791932798	1.0	0.1960359874835304	7081
100022_167	100022	3422	1	13.858083295090298	0.9977827050997784	0.192047179424577	5984
100022_173	100022	4424	9	55.14037787987865	1.0	0.2354725840947134	6887
100022_18	100022	3777	3	41.93705645135579	0.9988913525498893	0.1933552518444667	7374
100022_19	100022	3724	9	68.2850945992866	0.9988913525498893	0.1898955354818527	7030
100022_190	100022	3229	4	56.02506803211589	0.9977827050997784	0.1881837341390316	5017
100022_214	100022	3373	3	11.157920750094734	0.992239467849224	0.1942819018018103	7376
100022_22	100022	4307	8	33.49358086601114	1.0	0.2139157110129486	6830
