library_id	external_id	library_type	number_of_lanes_aggregated	sequenced_reads	preparation_id
CSM5FZ3N_P_G79889	CSM5FZ3N_P	metagenomics	3.0	11058717.0	CSM5FZ3N_G79889
CSM5FZ3R_P_G79894	CSM5FZ3R_P	metagenomics	3.0	17023305.0	CSM5FZ3R_G79894
CSM5YRY7_P_G79903	CSM5YRY7_P	metagenomics	6.0	27437921.0	CSM5YRY7_G79903
CSM5FZ3V_P_G79913	CSM5FZ3V_P	metagenomics	3.0	17899756.0	CSM5FZ3V_G79913
CSM5FZ4C_P_G79926	CSM5FZ4C_P	metagenomics	3.0	14898347.0	CSM5FZ4C_G79926
CSM5MCVD_P_G79969	CSM5MCVD_P	metagenomics	6.0	17251263.0	CSM5MCVD_G79969
CSM5MCVF_P_G80015	CSM5MCVF_P	metagenomics	3.0	16782924.0	CSM5MCVF_G80015
CSM5MCVV_P_G79979	CSM5MCVV_P	metagenomics	6.0	16664741.0	CSM5MCVV_G79979
CSM5MCWI_P_G80050	CSM5MCWI_P	metagenomics	6.0	22969876.0	CSM5MCWI_G80050
CSM5MCXD_G110156	CSM5MCXD	metagenomics		15170612.0	CSM5MCXD_G110156
CSM5MCYS_G110044	CSM5MCYS	metagenomics		20042292.0	CSM5MCYS_G110044
CSM67U9J_G110049	CSM67U9J	metagenomics		14332717.0	CSM67U9J_G110049
CSM67UA2_G110131	CSM67UA2	metagenomics		14127007.0	CSM67UA2_G110131
CSM67UGC_G110046	CSM67UGC	metagenomics		3744457.0	CSM67UGC_G110046
CSM79HG5_G110040	CSM79HG5	metagenomics		22909513.0	CSM79HG5_G110040
CSM79HGP_G110162	CSM79HGP	metagenomics		19541648.0	CSM79HGP_G110162
CSM5FZ3T_P_G79914	CSM5FZ3T_P	metagenomics	3.0	10598324.0	CSM5FZ3T_G79914
CSM5FZ3X_P_G79929	CSM5FZ3X_P	metagenomics	6.0	13331434.0	CSM5FZ3X_G79929
CSM5FZ3Z_P_G79949	CSM5FZ3Z_P	metagenomics	6.0	22364044.0	CSM5FZ3Z_G79949
CSM5FZ42_P_G79970	CSM5FZ42_P	metagenomics	6.0	30088262.0	CSM5FZ42_G79970
CSM5FZ44_P_G80016	CSM5FZ44_P	metagenomics	3.0	19098200.0	CSM5FZ44_G80016
CSM5FZ46_P_G79994	CSM5FZ46_P	metagenomics	3.0	15492083.0	CSM5FZ46_G79994
CSM5MCVJ_P_G80049	CSM5MCVJ_P	metagenomics	6.0	24735893.0	CSM5MCVJ_G80049
CSM5MCVL_G110038	CSM5MCVL	metagenomics		15712972.0	CSM5MCVL_G110038
CSM5MCVN_G110144	CSM5MCVN	metagenomics		14292763.0	CSM5MCVN_G110144
CSM67UBF_G110061	CSM67UBF	metagenomics		13677587.0	CSM67UBF_G110061
CSM67UBH_G110126	CSM67UBH	metagenomics		17829477.0	CSM67UBH_G110126
CSM67UBN_G110174	CSM67UBN	metagenomics		12482653.0	CSM67UBN_G110174
CSM67UBR_G110036	CSM67UBR	metagenomics		11565907.0	CSM67UBR_G110036
CSM79HJW_G110166	CSM79HJW	metagenomics		20889270.0	CSM79HJW_G110166
CSM79HJY_G110051	CSM79HJY	metagenomics		14636389.0	CSM79HJY_G110051
CSM5FZ4E_P_G79948	CSM5FZ4E_P	metagenomics	6.0	24732757.0	CSM5FZ4E_G79948
CSM5FZ4G_P_G79955	CSM5FZ4G_P	metagenomics	6.0	28215528.0	CSM5FZ4G_G79955
CSM5FZ4K_P_G79981	CSM5FZ4K_P	metagenomics	3.0	13598433.0	CSM5FZ4K_G79981
CSM5FZ4M_G110153	CSM5FZ4M	metagenomics		17662709.0	CSM5FZ4M_G110153
CSM5MCWM_P_G80041	CSM5MCWM_P	metagenomics	3.0	21048528.0	CSM5MCWM_G80041
CSM5MCWQ_G110148	CSM5MCWQ	metagenomics		11734108.0	CSM5MCWQ_G110148
CSM67UBX_G110059	CSM67UBX	metagenomics		20809578.0	CSM67UBX_G110059
CSM67UBZ_G110137	CSM67UBZ	metagenomics		16208778.0	CSM67UBZ_G110137
CSM67UC6_G110177	CSM67UC6	metagenomics		19806373.0	CSM67UC6_G110177
CSM79HLM_G110042	CSM79HLM	metagenomics		18143300.0	CSM79HLM_G110042
CSM5FZ4A_P_G79930	CSM5FZ4A_P	metagenomics	6.0	16972696.0	CSM5FZ4A_G79930
CSM5MCU8_P_G79971	CSM5MCU8_P	metagenomics	6.0	19223305.0	CSM5MCU8_G79971
CSM5MCUA_P_G80019	CSM5MCUA_P	metagenomics	6.0	20518066.0	CSM5MCUA_G80019
CSM5MCUC_P_G79988	CSM5MCUC_P	metagenomics	6.0	26707526.0	CSM5MCUC_G79988
CSM5MCUE_P_G80046	CSM5MCUE_P	metagenomics	6.0	18173655.0	CSM5MCUE_G80046
CSM5MCXH_G110158	CSM5MCXH	metagenomics		15408027.0	CSM5MCXH_G110158
CSM5MCXJ_G110146	CSM5MCXJ	metagenomics		13903250.0	CSM5MCXJ_G110146
CSM5MCXL_G110149	CSM5MCXL	metagenomics		17872356.0	CSM5MCXL_G110149
CSM5MCXN_G110129	CSM5MCXN	metagenomics		14743546.0	CSM5MCXN_G110129
CSM5MCXP_G110139	CSM5MCXP	metagenomics		17770970.0	CSM5MCXP_G110139
CSM5MCXR_G110121	CSM5MCXR	metagenomics		13150550.0	CSM5MCXR_G110121
CSM67UDF_G110134	CSM67UDF	metagenomics		11706601.0	CSM67UDF_G110134
CSM67UDJ_G110141	CSM67UDJ	metagenomics		17938083.0	CSM67UDJ_G110141
CSM67UDN_G110171	CSM67UDN	metagenomics		16234421.0	CSM67UDN_G110171
CSM67UDR_TR_C3004C16_MGX	CSM67UDR_TR	metagenomics		14061449.0	CSM67UDR_C3004C16_MGX
CSM67UDR_G110161	CSM67UDR	metagenomics		14573547.0	CSM67UDR_G110161
CSM67UDY_G110176	CSM67UDY	metagenomics		16532653.0	CSM67UDY_G110176
CSM79HLA_TR_C3004C19_MGX	CSM79HLA_TR	metagenomics		11735991.0	CSM79HLA_C3004C19_MGX
CSM79HLA_G110167	CSM79HLA	metagenomics		17142484.0	CSM79HLA_G110167
CSM79HLG_G110170	CSM79HLG	metagenomics		13783522.0	CSM79HLG_G110170
CSM79HLE_G110095	CSM79HLE	metagenomics		14744656.0	CSM79HLE_G110095
CSM79HLC_G110100	CSM79HLC	metagenomics		17860644.0	CSM79HLC_G110100
CSM79HLI_G110029	CSM79HLI	metagenomics		17477069.0	CSM79HLI_G110029
CSM79HLK_G109990	CSM79HLK	metagenomics		15277542.0	CSM79HLK_G109990
CSM5MCUQ_P_G79956	CSM5MCUQ_P	metagenomics	3.0	21095916.0	CSM5MCUQ_G79956
CSM5MCUS_P_G80025	CSM5MCUS_P	metagenomics	6.0	15650438.0	CSM5MCUS_G80025
CSM5MCUW_P_G80066	CSM5MCUW_P	metagenomics	6.0	19328382.0	CSM5MCUW_G80066
CSM5MCUY_P_G80043	CSM5MCUY_P	metagenomics	6.0	26641469.0	CSM5MCUY_G80043
CSM5MCY4_G110159	CSM5MCY4	metagenomics		12224275.0	CSM5MCY4_G110159
CSM5MCY8_G110151	CSM5MCY8	metagenomics		21105290.0	CSM5MCY8_G110151
CSM67UE3_G110048	CSM67UE3	metagenomics		19544568.0	CSM67UE3_G110048
CSM67UE7_G110142	CSM67UE7	metagenomics		12988170.0	CSM67UE7_G110142
CSM67UEA_G110173	CSM67UEA	metagenomics		12345060.0	CSM67UEA_G110173
CSM67UEM_G110054	CSM67UEM	metagenomics		15364377.0	CSM67UEM_G110054
CSM67UEI_G110168	CSM67UEI	metagenomics		15806818.0	CSM67UEI_G110168
CSM79HO1_G110093	CSM79HO1	metagenomics		12847128.0	CSM79HO1_G110093
CSM5MCTZ_P_G79951	CSM5MCTZ_P	metagenomics	3.0	19358330.0	CSM5MCTZ_G79951
CSM5MCUG_P_G79968	CSM5MCUG_P	metagenomics	3.0	21205800.0	CSM5MCUG_G79968
CSM5MCUK_P_G79985	CSM5MCUK_P	metagenomics	3.0	25354417.0	CSM5MCUK_G79985
CSM5MCUO_G110157	CSM5MCUO	metagenomics		19661807.0	CSM5MCUO_G110157
CSM5MCX3_G110130	CSM5MCX3	metagenomics		18755959.0	CSM5MCX3_G110130
CSM67UFV_G110047	CSM67UFV	metagenomics		16804942.0	CSM67UFV_G110047
CSM67UFZ_G110172	CSM67UFZ	metagenomics		14766215.0	CSM67UFZ_G110172
CSM67UG8_G110052	CSM67UG8	metagenomics		20391842.0	CSM67UG8_G110052
CSM79HMN_G110041	CSM79HMN	metagenomics		16732365.0	CSM79HMN_G110041
CSM79HMP_G110024	CSM79HMP	metagenomics		14539317.0	CSM79HMP_G110024
CSM79HMT_G110107	CSM79HMT	metagenomics		13015422.0	CSM79HMT_G110107
CSM5MCVB_P_G79966	CSM5MCVB_P	metagenomics	6.0	12995071.0	CSM5MCVB_G79966
CSM5MCV1_P_G79976	CSM5MCV1_P	metagenomics	6.0	19967292.0	CSM5MCV1_G79976
CSM5MCV5_P_G80060	CSM5MCV5_P	metagenomics	6.0	5820644.0	CSM5MCV5_G80060
CSM5MCU4_P_G80008	CSM5MCU4_P	metagenomics	6.0	17674322.0	CSM5MCU4_G80008
CSM5MCVZ_P_G80040	CSM5MCVZ_P	metagenomics	6.0	17694901.0	CSM5MCVZ_G80040
CSM5MCW4_P_G95636	CSM5MCW4_P	metagenomics	6.0	14822481.0	CSM5MCW4_G95636
CSM5MCW6_G110147	CSM5MCW6	metagenomics		11519145.0	CSM5MCW6_G110147
CSM5MCYW_G110043	CSM5MCYW	metagenomics		15437112.0	CSM5MCYW_G110043
CSM5MCZ3_G110123	CSM5MCZ3	metagenomics		14956621.0	CSM5MCZ3_G110123
CSM5MCZ5_G110037	CSM5MCZ5	metagenomics		19205064.0	CSM5MCZ5_G110037
CSM5MCZ7_G110055	CSM5MCZ7	metagenomics		17483160.0	CSM5MCZ7_G110055
CSM79HKT_G110094	CSM79HKT	metagenomics		15523425.0	CSM79HKT_G110094
CSM79HKV_G110031	CSM79HKV	metagenomics		21294425.0	CSM79HKV_G110031
CSM79HQ9_G110028	CSM79HQ9	metagenomics		29704292.0	CSM79HQ9_G110028
CSM79HQB_G110007	CSM79HQB	metagenomics		15234303.0	CSM79HQB_G110007
CSM79HQF_G110105	CSM79HQF	metagenomics		14312498.0	CSM79HQF_G110105
CSM5MCWA_P_G95735	CSM5MCWA_P	metagenomics	6.0	17629278.0	CSM5MCWA_G95735
CSM5MCWC_G110145	CSM5MCWC	metagenomics		15609334.0	CSM5MCWC_G110145
CSM5MCWE_G110150	CSM5MCWE	metagenomics		16869140.0	CSM5MCWE_G110150
CSM5MCWG_G110050	CSM5MCWG	metagenomics		16981364.0	CSM5MCWG_G110050
CSM67UAA_G110124	CSM67UAA	metagenomics		11061070.0	CSM67UAA_G110124
CSM67UAG_G110039	CSM67UAG	metagenomics		11900734.0	CSM67UAG_G110039
CSM79HI3_G110175	CSM79HI3	metagenomics		20252363.0	CSM79HI3_G110175
CSM79HI7_G110169	CSM79HI7	metagenomics		15611976.0	CSM79HI7_G110169
CSM79HIB_G110098	CSM79HIB	metagenomics		16730409.0	CSM79HIB_G110098
CSM7KOJE_G110008	CSM7KOJE	metagenomics		16103300.0	CSM7KOJE_G110008
CSM7KOJG_G110109	CSM7KOJG	metagenomics		19713791.0	CSM7KOJG_G110109
CSM7KOJO_G110116	CSM7KOJO	metagenomics		15333472.0	CSM7KOJO_G110116
CSM5MCWK_P_G80037	CSM5MCWK_P	metagenomics	3.0	17501049.0	CSM5MCWK_G80037
CSM5MCXT_G110160	CSM5MCXT	metagenomics		5515703.0	CSM5MCXT_G110160
CSM5MCXV_G110045	CSM5MCXV	metagenomics		15963867.0	CSM5MCXV_G110045
CSM5MCXX_P_G95743	CSM5MCXX_P	metagenomics	6.0	13779546.0	CSM5MCXX_G95743
CSM5MCXZ_P_G95645	CSM5MCXZ_P	metagenomics	6.0	11145724.0	CSM5MCXZ_G95645
