"mgen_id	mgen_group_id"
"xjin_AB_P0R1a	xjin"
"xjin_AB_P0R1b	xjin"
"xjin_AB_P0R1c	xjin"
"xjin_AB_P0R2a	xjin"
"xjin_AB_P0R2b	xjin"
"xjin_AB_P0R2c	xjin"
"xjin_AB_P0R3a	xjin"
"xjin_AB_P0R3b	xjin"
"xjin_AB_P0R3c	xjin"
"xjin_AB_P1R1a	xjin"
"xjin_AB_P1R1b	xjin"
"xjin_AB_P1R1c	xjin"
"xjin_AB_P1R2a	xjin"
"xjin_AB_P1R2b	xjin"
"xjin_AB_P1R2c	xjin"
"xjin_AB_P1R3a	xjin"
"xjin_AB_P1R3b	xjin"
"xjin_AB_P1R3c	xjin"
"xjin_AB_P2R1a	xjin"
"xjin_AB_P2R1b	xjin"
"xjin_AB_P2R1c	xjin"
"xjin_AB_P2R2a	xjin"
"xjin_AB_P2R2b	xjin"
"xjin_AB_P2R2c	xjin"
"xjin_AB_P2R3a	xjin"
"xjin_AB_P2R3b	xjin"
"xjin_AB_P2R3c	xjin"
"xjin_AB_P3R1a	xjin"
"xjin_AB_P3R1b	xjin"
"xjin_AB_P3R1c	xjin"
"xjin_AB_P3R2a	xjin"
"xjin_AB_P3R2b	xjin"
"xjin_AB_P3R2c	xjin"
"xjin_AB_P3R3a	xjin"
"xjin_AB_P3R3b	xjin"
"xjin_AB_P3R3c	xjin"
"xjin_AB_P4R1a	xjin"
"xjin_AB_P4R1b	xjin"
"xjin_AB_P4R1c	xjin"
"xjin_AB_P4R2a	xjin"
"xjin_AB_P4R2b	xjin"
"xjin_AB_P4R2c	xjin"
"xjin_AB_P4R3a	xjin"
"xjin_AB_P4R3b	xjin"
"xjin_AB_P4R3c	xjin"
"xjin_AB_P5R1a	xjin"
"xjin_AB_P5R1b	xjin"
"xjin_AB_P5R1c	xjin"
"xjin_AB_P5R2a	xjin"
"xjin_AB_P5R2b	xjin"
"xjin_AB_P5R2c	xjin"
"xjin_AB_P5R3a	xjin"
"xjin_AB_P5R3b	xjin"
"xjin_AB_P5R3c	xjin"
"xjin_AS_P0R1a	xjin"
"xjin_AS_P0R1b	xjin"
"xjin_AS_P0R1c	xjin"
"xjin_AS_P0R2a	xjin"
"xjin_AS_P0R2b	xjin"
"xjin_AS_P0R2c	xjin"
"xjin_AS_P0R3a	xjin"
"xjin_AS_P0R3b	xjin"
"xjin_AS_P0R3c	xjin"
"xjin_AS_P1R1a	xjin"
"xjin_AS_P1R1b	xjin"
"xjin_AS_P1R1c	xjin"
"xjin_AS_P1R2a	xjin"
"xjin_AS_P1R2b	xjin"
"xjin_AS_P1R2c	xjin"
"xjin_AS_P1R3a	xjin"
"xjin_AS_P1R3b	xjin"
"xjin_AS_P1R3c	xjin"
"xjin_AS_P2R1a	xjin"
"xjin_AS_P2R1b	xjin"
"xjin_AS_P2R1c	xjin"
"xjin_AS_P2R2a	xjin"
"xjin_AS_P2R2b	xjin"
"xjin_AS_P2R2c	xjin"
"xjin_AS_P2R3a	xjin"
"xjin_AS_P2R3b	xjin"
"xjin_AS_P2R3c	xjin"
"xjin_AS_P3R1a	xjin"
"xjin_AS_P3R1b	xjin"
"xjin_AS_P3R1c	xjin"
"xjin_AS_P3R2a	xjin"
"xjin_AS_P3R2b	xjin"
"xjin_AS_P3R2c	xjin"
"xjin_AS_P3R3a	xjin"
"xjin_AS_P3R3b	xjin"
"xjin_AS_P3R3c	xjin"
"xjin_AS_P4R1a	xjin"
"xjin_AS_P4R1b	xjin"
"xjin_AS_P4R1c	xjin"
"xjin_AS_P4R2a	xjin"
"xjin_AS_P4R2b	xjin"
"xjin_AS_P4R2c	xjin"
"xjin_AS_P4R3a	xjin"
"xjin_AS_P4R3b	xjin"
"xjin_AS_P4R3c	xjin"
"xjin_AS_P5R1a	xjin"
"xjin_AS_P5R1b	xjin"
"xjin_AS_P5R1c	xjin"
"xjin_AS_P5R2a	xjin"
"xjin_AS_P5R2b	xjin"
"xjin_AS_P5R2c	xjin"
"xjin_AS_P5R3a	xjin"
"xjin_AS_P5R3b	xjin"
"xjin_AS_P5R3c	xjin"
"xjin_MB_P0R1a	xjin"
"xjin_MB_P0R1b	xjin"
"xjin_MB_P0R1c	xjin"
"xjin_MB_P0R2a	xjin"
"xjin_MB_P0R2b	xjin"
"xjin_MB_P0R2c	xjin"
"xjin_MB_P0R3a	xjin"
"xjin_MB_P0R3b	xjin"
"xjin_MB_P0R3c	xjin"
"xjin_MB_P1R1a	xjin"
"xjin_MB_P1R1b	xjin"
"xjin_MB_P1R1c	xjin"
"xjin_MB_P1R2a	xjin"
"xjin_MB_P1R2b	xjin"
"xjin_MB_P1R2c	xjin"
"xjin_MB_P1R3a	xjin"
"xjin_MB_P1R3b	xjin"
"xjin_MB_P1R3c	xjin"
"xjin_MB_P2R1a	xjin"
"xjin_MB_P2R1b	xjin"
"xjin_MB_P2R1c	xjin"
"xjin_MB_P2R2a	xjin"
"xjin_MB_P2R2b	xjin"
"xjin_MB_P2R2c	xjin"
"xjin_MB_P2R3a	xjin"
"xjin_MB_P2R3b	xjin"
"xjin_MB_P2R3c	xjin"
"xjin_MB_P3R1a	xjin"
"xjin_MB_P3R1b	xjin"
"xjin_MB_P3R1c	xjin"
"xjin_MB_P3R2a	xjin"
"xjin_MB_P3R2b	xjin"
"xjin_MB_P3R2c	xjin"
"xjin_MB_P3R3a	xjin"
"xjin_MB_P3R3b	xjin"
"xjin_MB_P3R3c	xjin"
"xjin_MB_P4R1a	xjin"
"xjin_MB_P4R1b	xjin"
"xjin_MB_P4R1c	xjin"
"xjin_MB_P4R2a	xjin"
"xjin_MB_P4R2b	xjin"
"xjin_MB_P4R2c	xjin"
"xjin_MB_P4R3a	xjin"
"xjin_MB_P4R3b	xjin"
"xjin_MB_P4R3c	xjin"
"xjin_MB_P5R1a	xjin"
"xjin_MB_P5R1b	xjin"
"xjin_MB_P5R1c	xjin"
"xjin_MB_P5R2a	xjin"
"xjin_MB_P5R2b	xjin"
"xjin_MB_P5R2c	xjin"
"xjin_MB_P5R3a	xjin"
"xjin_MB_P5R3b	xjin"
"xjin_MB_P5R3c	xjin"
"xjin_MS_P0R1a	xjin"
"xjin_MS_P0R1b	xjin"
"xjin_MS_P0R1c	xjin"
"xjin_MS_P0R2a	xjin"
"xjin_MS_P0R2b	xjin"
"xjin_MS_P0R2c	xjin"
"xjin_MS_P0R3a	xjin"
"xjin_MS_P0R3b	xjin"
"xjin_MS_P0R3c	xjin"
"xjin_MS_P1R1a	xjin"
"xjin_MS_P1R1b	xjin"
"xjin_MS_P1R1c	xjin"
"xjin_MS_P1R2a	xjin"
"xjin_MS_P1R2b	xjin"
"xjin_MS_P1R2c	xjin"
"xjin_MS_P1R3a	xjin"
"xjin_MS_P1R3b	xjin"
"xjin_MS_P1R3c	xjin"
"xjin_MS_P2R1a	xjin"
"xjin_MS_P2R1b	xjin"
"xjin_MS_P2R1c	xjin"
"xjin_MS_P2R2a	xjin"
"xjin_MS_P2R2b	xjin"
"xjin_MS_P2R2c	xjin"
"xjin_MS_P2R3a	xjin"
"xjin_MS_P2R3b	xjin"
"xjin_MS_P2R3c	xjin"
"xjin_MS_P3R1a	xjin"
"xjin_MS_P3R1b	xjin"
"xjin_MS_P3R1c	xjin"
"xjin_MS_P3R2a	xjin"
"xjin_MS_P3R2b	xjin"
"xjin_MS_P3R2c	xjin"
"xjin_MS_P3R3a	xjin"
"xjin_MS_P3R3b	xjin"
"xjin_MS_P3R3c	xjin"
"xjin_MS_P4R1a	xjin"
"xjin_MS_P4R1b	xjin"
"xjin_MS_P4R1c	xjin"
"xjin_MS_P4R2a	xjin"
"xjin_MS_P4R2b	xjin"
"xjin_MS_P4R2c	xjin"
"xjin_MS_P4R3a	xjin"
"xjin_MS_P4R3b	xjin"
"xjin_MS_P4R3c	xjin"
"xjin_MS_P5R1a	xjin"
"xjin_MS_P5R1b	xjin"
"xjin_MS_P5R1c	xjin"
"xjin_MS_P5R2a	xjin"
"xjin_MS_P5R2b	xjin"
"xjin_MS_P5R2c	xjin"
"xjin_MS_P5R3a	xjin"
"xjin_MS_P5R3b	xjin"
"xjin_MS_P5R3c	xjin"
"xjin_N_P0R1a	xjin"
"xjin_N_P0R1b	xjin"
"xjin_N_P0R1c	xjin"
"xjin_N_P0R2a	xjin"
"xjin_N_P0R2b	xjin"
"xjin_N_P0R2c	xjin"
"xjin_N_P0R3a	xjin"
"xjin_N_P0R3b	xjin"
"xjin_N_P0R3c	xjin"
"xjin_N_P1R1a	xjin"
"xjin_N_P1R1b	xjin"
"xjin_N_P1R1c	xjin"
"xjin_N_P1R2a	xjin"
"xjin_N_P1R2b	xjin"
"xjin_N_P1R2c	xjin"
"xjin_N_P1R3a	xjin"
"xjin_N_P1R3b	xjin"
"xjin_N_P1R3c	xjin"
"xjin_N_P2R1a	xjin"
"xjin_N_P2R1b	xjin"
"xjin_N_P2R1c	xjin"
"xjin_N_P2R2a	xjin"
"xjin_N_P2R2b	xjin"
"xjin_N_P2R2c	xjin"
"xjin_N_P2R3a	xjin"
"xjin_N_P2R3b	xjin"
"xjin_N_P2R3c	xjin"
"xjin_N_P3R1a	xjin"
"xjin_N_P3R1b	xjin"
"xjin_N_P3R1c	xjin"
"xjin_N_P3R2a	xjin"
"xjin_N_P3R2b	xjin"
"xjin_N_P3R2c	xjin"
"xjin_N_P3R3a	xjin"
"xjin_N_P3R3b	xjin"
"xjin_N_P3R3c	xjin"
"xjin_N_P4R1a	xjin"
"xjin_N_P4R1b	xjin"
"xjin_N_P4R1c	xjin"
"xjin_N_P4R2a	xjin"
"xjin_N_P4R2b	xjin"
"xjin_N_P4R2c	xjin"
"xjin_N_P4R3a	xjin"
"xjin_N_P4R3b	xjin"
"xjin_N_P4R3c	xjin"
"xjin_N_P5R1a	xjin"
"xjin_N_P5R1b	xjin"
"xjin_N_P5R1c	xjin"
"xjin_N_P5R2a	xjin"
"xjin_N_P5R2b	xjin"
"xjin_N_P5R2c	xjin"
"xjin_N_P5R3a	xjin"
"xjin_N_P5R3b	xjin"
"xjin_N_P5R3c	xjin"
"xjin_Flex_Innoculum_Rep1	xjin"
"xjin_Flex_Innoculum_Rep2	xjin"
"xjin_KAPA_Innoculum_Rep1	xjin"
"xjin_KAPA_Innoculum_Rep2	xjin"
"xjin_XT_Innoculum_Rep1	xjin"
"xjin_XT_Innoculum_Rep2	xjin"
"CSM5MCXD_G110156	hmp2"
"CSM5MCYS_G110044	hmp2"
"CSM67U9J_G110049	hmp2"
"CSM67UA2_G110131	hmp2"
"CSM67UGC_G110046	hmp2"
"CSM79HG5_G110040	hmp2"
"CSM79HGP_G110162	hmp2"
"CSM5MCVL_G110038	hmp2"
"CSM5MCVN_G110144	hmp2"
"CSM67UBF_G110061	hmp2"
"CSM67UBH_G110126	hmp2"
"CSM67UBN_G110174	hmp2"
"CSM67UBR_G110036	hmp2"
"CSM79HJW_G110166	hmp2"
"CSM79HJY_G110051	hmp2"
"CSM5FZ4M_G110153	hmp2"
"CSM5MCWQ_G110148	hmp2"
"CSM67UBX_G110059	hmp2"
"CSM67UBZ_G110137	hmp2"
"CSM67UC6_G110177	hmp2"
"CSM79HLM_G110042	hmp2"
"CSM5MCXH_G110158	hmp2"
"CSM5MCXJ_G110146	hmp2"
"CSM5MCXL_G110149	hmp2"
"CSM5MCXN_G110129	hmp2"
"CSM5MCXP_G110139	hmp2"
"CSM5MCXR_G110121	hmp2"
"CSM67UDF_G110134	hmp2"
"CSM67UDJ_G110141	hmp2"
"CSM67UDN_G110171	hmp2"
"CSM67UDR_TR_C3004C16_MGX	hmp2"
"CSM67UDR_G110161	hmp2"
"CSM67UDY_G110176	hmp2"
"CSM79HLA_TR_C3004C19_MGX	hmp2"
"CSM79HLA_G110167	hmp2"
"CSM79HLG_G110170	hmp2"
"CSM79HLE_G110095	hmp2"
"CSM79HLC_G110100	hmp2"
"CSM79HLI_G110029	hmp2"
"CSM79HLK_G109990	hmp2"
"CSM5MCY4_G110159	hmp2"
"CSM5MCY8_G110151	hmp2"
"CSM67UE3_G110048	hmp2"
"CSM67UE7_G110142	hmp2"
"CSM67UEA_G110173	hmp2"
"CSM67UEM_G110054	hmp2"
"CSM67UEI_G110168	hmp2"
"CSM79HO1_G110093	hmp2"
"CSM5MCUO_G110157	hmp2"
"CSM5MCX3_G110130	hmp2"
"CSM67UFV_G110047	hmp2"
"CSM67UFZ_G110172	hmp2"
"CSM67UG8_G110052	hmp2"
"CSM79HMN_G110041	hmp2"
"CSM79HMP_G110024	hmp2"
"CSM79HMT_G110107	hmp2"
"CSM5MCW6_G110147	hmp2"
"CSM5MCYW_G110043	hmp2"
"CSM5MCZ3_G110123	hmp2"
"CSM5MCZ5_G110037	hmp2"
"CSM5MCZ7_G110055	hmp2"
"CSM79HKT_G110094	hmp2"
"CSM79HKV_G110031	hmp2"
"CSM79HQ9_G110028	hmp2"
"CSM79HQB_G110007	hmp2"
"CSM79HQF_G110105	hmp2"
"CSM5MCWC_G110145	hmp2"
"CSM5MCWE_G110150	hmp2"
"CSM5MCWG_G110050	hmp2"
"CSM67UAA_G110124	hmp2"
"CSM67UAG_G110039	hmp2"
"CSM79HI3_G110175	hmp2"
"CSM79HI7_G110169	hmp2"
"CSM79HIB_G110098	hmp2"
"CSM7KOJE_G110008	hmp2"
"CSM7KOJG_G110109	hmp2"
"CSM7KOJO_G110116	hmp2"
"CSM5MCXT_G110160	hmp2"
"CSM5MCXV_G110045	hmp2"
"CSM5MCY2_G110132	hmp2"
"CSM67UCK_G110143	hmp2"
"CSM79HK9_G110053	hmp2"
"CSM79HKB_G110104	hmp2"
"CSM79HOF_G110082	hmp2"
"CSM79HOH_G110013	hmp2"
"CSM7KOL4_G110110	hmp2"
"CSM7KOLA_G110115	hmp2"
"CSM7KOLE_G110112	hmp2"
"CSM67UEW_TR_C3011C9_MGX	hmp2"
"CSM67UEW_G110155	hmp2"
"CSM67UF1_G110035	hmp2"
"CSM67UF5_G110102	hmp2"
"CSM79HM1_G110023	hmp2"
"CSM79HM7_G110027	hmp2"
"CSM7KOMP_G110117	hmp2"
"CSM7KOMT_G110111	hmp2"
"CSM5MCZB_G110128	hmp2"
"CSM5MCZD_G110138	hmp2"
"CSM5MCZF_G110133	hmp2"
"CSM67U9B_G110060	hmp2"
"CSM67U9D_G110136	hmp2"
"CSM67UGO_G110164	hmp2"
"CSM79HOJ_G110021	hmp2"
"CSM79HOL_G110096	hmp2"
"CSM79HOT_G110026	hmp2"
"CSM7KOMX_G110605	hmp2"
"CSM7KOMZ_G110614	hmp2"
"CSM7KON2_G110118	hmp2"
"CSM7KON8_G110114	hmp2"
"CSM67U9H_G110152	hmp2"
"CSM67U9N_G110638	hmp2"
"CSM79HGF_G110154	hmp2"
"CSM79HPK_G110097	hmp2"
"CSM79HPS_G110106	hmp2"
"CSM79HPO_G110609	hmp2"
"CSM79HPU_G110572	hmp2"
"CSM7KONU_G110119	hmp2"
