preparation_id	project_name	library_type	stool_id
CSM5FZ3N_C3001C1_MBX	C3001C1_MBX	metabolomics	CSM5FZ3N
CSM5FZ4C_C3001C5_MBX	C3001C5_MBX	metabolomics	CSM5FZ4C
CSM5MCVV_C3001C9_MBX	C3001C9_MBX	metabolomics	CSM5MCVV
CSM67UA2_C3001C15_MBX	C3001C15_MBX	metabolomics	CSM67UA2
CSM79HGP_C3001C20_MBX	C3001C20_MBX	metabolomics	CSM79HGP
CSM79HMZ_C3001C24_MBX	C3001C24_MBX	metabolomics	CSM79HMZ
CSM5FZ3T_C3002C1_MBX	C3002C1_MBX	metabolomics	CSM5FZ3T
CSM5FZ44_C3002C5_MBX	C3002C5_MBX	metabolomics	CSM5FZ44
CSM5MCVN_C3002C9_MBX	C3002C9_MBX	metabolomics	CSM5MCVN
CSM67UBH_C3002C14_MBX	C3002C14_MBX	metabolomics	CSM67UBH
CSM67UBN_C3002C17_MBX	C3002C17_MBX	metabolomics	CSM67UBN
CSM79HK1_C3002C21_MBX	C3002C21_MBX	metabolomics	CSM79HK1
CSM5FZ48_C3003C1_MBX	C3003C1_MBX	metabolomics	CSM5FZ48
CSM5FZ4K_C3003C5_MBX	C3003C5_MBX	metabolomics	CSM5FZ4K
CSM5MCYK_C3003C10_MBX	C3003C10_MBX	metabolomics	CSM5MCYK
CSM67UBZ_C3003C14_MBX	C3003C14_MBX	metabolomics	CSM67UBZ
CSM79HLM_C3003C19_MBX	C3003C19_MBX	metabolomics	CSM79HLM
CSM5FZ4A_C3004C1_MBX	C3004C1_MBX	metabolomics	CSM5FZ4A
CSM5MCUC_C3004C5_MBX	C3004C5_MBX	metabolomics	CSM5MCUC
CSM5MCXL_C3004C9_MBX	C3004C9_MBX	metabolomics	CSM5MCXL
CSM67UDN_C3004C15_MBX	C3004C15_MBX	metabolomics	CSM67UDN
CSM79HLA_C3004C19_MBX	C3004C19_MBX	metabolomics	CSM79HLA
CSM5FZ4O_C3005C1_MBX	C3005C1_MBX	metabolomics	CSM5FZ4O
