centroid_75,nlength,Description,Preferred_name,6_gene_present,9_gene_present,eggnog_og,gene_clust,amr_hit,cog_category,6_clust_frac,9_clust_frac
GUT_GENOME000026_00162,236.97052803929597,Protein of unknown function (DUF1656),ydhI,True,True,"3XQ01@561|Escherichia,1NCAP@1224|Proteobacteria,32YWB@2|Bacteria,2E3ZD@1|root,1SD9Z@1236|Gammaproteobacteria",,,,,
GUT_GENOME000026_00183,1232.1855586930214,cellular response to DNA damage stimulus,ydhQ,True,True,"COG3468@1|root,COG3468@2|Bacteria,3XNU0@561|Escherichia,1NQVP@1224|Proteobacteria,1SMRB@1236|Gammaproteobacteria",,,"M,U",,
GUT_GENOME000026_00233,2162.900341038272,phenylalanine-tRNA ligase activity,pheT,True,True,"COG0072@1|root,COG0073@2|Bacteria,COG0073@1|root,COG0072@2|Bacteria,1RMIH@1236|Gammaproteobacteria,1MWKS@1224|Proteobacteria,3XMDP@561|Escherichia",,,J,,
GUT_GENOME000026_00238,1833.256740442656,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr),thrS,True,True,"COG0441@1|root,1MUP2@1224|Proteobacteria,COG0441@2|Bacteria,1RMYE@1236|Gammaproteobacteria,3XNZY@561|Escherichia",1995.0,,J,1.0,1.0
GUT_GENOME000026_00246,664.2949524702102,this is a biologically important activity in vivo since it contributes to the elimination of this toxic compound and plays an important role in the resistance of E.coli to 2-deoxyglucose,yniC,True,True,"COG0637@2|Bacteria,1RNP8@1236|Gammaproteobacteria,1NF90@1224|Proteobacteria,3XMXW@561|Escherichia,COG0637@1|root",,,G,,
GUT_GENOME000026_00337,786.7733279935923,Transcriptional regulator,kdgR,True,True,"COG1414@2|Bacteria,1RR06@1236|Gammaproteobacteria,COG1414@1|root,1MUNW@1224|Proteobacteria,3XP0S@561|Escherichia",,,K,,
GUT_GENOME000026_00393,388.7938972162741,"Involved in the transmission of sensory signals from the chemoreceptors to the flagellar motors. In its active (phosphorylated or acetylated) form, CheY exhibits enhanced binding to a switch component, FliM, at the flagellar motor which induces a change from counterclockwise to clockwise flagellar rotation",cheY,True,True,"1RDNP@1224|Proteobacteria,COG0745@2|Bacteria,COG0745@1|root,1S47I@1236|Gammaproteobacteria,3XPJY@561|Escherichia",,,"K,T",,
GUT_GENOME000026_00405,1359.1216162683218,Probably involved in the osmoprotection via the biosynthesis of trehalose. Catalyzes the transfer of glucose from UDP-glucose (UDP-Glc) to D-glucose 6-phosphate (Glc-6-P) to form trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor,otsA,True,True,"1MUIY@1224|Proteobacteria,1RNG7@1236|Gammaproteobacteria,3XPDP@561|Escherichia,COG0380@1|root,COG0380@2|Bacteria",,,G,,
GUT_GENOME000026_00561,284.53155080213907,BMC domain,pduA,False,True,"COG4577@1|root,1RH1U@1224|Proteobacteria,COG4577@2|Bacteria,1S5Y6@1236|Gammaproteobacteria,3WYJR@544|Citrobacter",351.0,,"C,Q",0.0,1.0
GUT_GENOME000026_00568,275.780487804878,BMC domain,pduA_1,False,True,"1S6YV@1236|Gammaproteobacteria,1RH1U@1224|Proteobacteria,COG4577@2|Bacteria,COG4577@1|root,3XR42@561|Escherichia",351.0,,"C,Q",0.0,1.0
GUT_GENOME000026_00569,422.80348652931855,BMC,pduK,False,True,"COG4577@1|root,3XQYE@561|Escherichia,1S594@1236|Gammaproteobacteria,COG4577@2|Bacteria,1RERH@1224|Proteobacteria",351.0,,"C,Q",0.0,1.0
GUT_GENOME000026_00574,1258.6664913203576,Aldehyde dehydrogenase family,pduP,False,True,"1RP7H@1236|Gammaproteobacteria,1QUBI@1224|Proteobacteria,3XMCR@561|Escherichia,COG1012@1|root,COG1012@2|Bacteria",352.0,,"C,I",0.0,1.0
GUT_GENOME000026_00578,350.7099792099792,BMC,pduU,False,True,"COG4810@2|Bacteria,COG4810@1|root,3XQXW@561|Escherichia,1RIS3@1224|Proteobacteria,1S458@1236|Gammaproteobacteria",351.0,,E,0.0,1.0
GUT_GENOME000026_00579,443.7134655532359,Ethanolamine utilisation - propanediol utilisation,pduV,False,True,"COG4917@1|root,COG4917@2|Bacteria,3XQ3H@561|Escherichia,1S3XX@1236|Gammaproteobacteria,1RIVR@1224|Proteobacteria",2410.0,,E,0.0,1.0
GUT_GENOME000026_00661,433.5254310344828,Phosphoenolpyruvate-dependent sugar phosphotransferase system,gatA,True,True,"COG1762@2|Bacteria,COG1762@1|root,1S5QX@1236|Gammaproteobacteria,1RDXB@1224|Proteobacteria",286.0,,"G,T",1.0,1.0
