genome_id	species_id	genome_path	_old_genome_id	ncbi_assembly_name	ncbi_assembly_biosample	comments
Escherichia-coli-GCF_030198155-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198155-1/assembly.fa		GCA_030198155.1	SAMN33450452	From PRJNA938932 GCA_030198155.1;
Escherichia-coli-GCF_030198175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198175-1/assembly.fa		GCA_030198175.1	SAMN33450451	From PRJNA938932 GCA_030198175.1;
Escherichia-coli-GCF_030198195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198195-1/assembly.fa		GCA_030198195.1	SAMN33450450	From PRJNA938932 GCA_030198195.1;
Escherichia-coli-GCF_030198215-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198215-1/assembly.fa		GCA_030198215.1	SAMN33450449	From PRJNA938932 GCA_030198215.1;
Escherichia-coli-GCF_030198235-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198235-1/assembly.fa		GCA_030198235.1	SAMN33450447	From PRJNA938932 GCA_030198235.1;
Escherichia-coli-GCF_030198255-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198255-1/assembly.fa		GCA_030198255.1	SAMN33450448	From PRJNA938932 GCA_030198255.1;
Escherichia-coli-GCF_030198275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198275-1/assembly.fa		GCA_030198275.1	SAMN33450453	From PRJNA938932 GCA_030198275.1;
Escherichia-coli-GCF_030198285-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198285-1/assembly.fa		GCA_030198285.1	SAMN33450446	From PRJNA938932 GCA_030198285.1;
Escherichia-coli-GCF_030198315-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198315-1/assembly.fa		GCA_030198315.1	SAMN33450445	From PRJNA938932 GCA_030198315.1;
Escherichia-coli-GCF_030198335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198335-1/assembly.fa		GCA_030198335.1	SAMN33450443	From PRJNA938932 GCA_030198335.1;
Escherichia-coli-GCF_030198355-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198355-1/assembly.fa		GCA_030198355.1	SAMN33450444	From PRJNA938932 GCA_030198355.1;
Escherichia-coli-GCF_030198375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198375-1/assembly.fa		GCA_030198375.1	SAMN33450441	From PRJNA938932 GCA_030198375.1;
Escherichia-coli-GCF_030198395-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198395-1/assembly.fa		GCA_030198395.1	SAMN33450442	From PRJNA938932 GCA_030198395.1;
Escherichia-coli-GCF_030198405-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198405-1/assembly.fa		GCA_030198405.1	SAMN33450440	From PRJNA938932 GCA_030198405.1;
Escherichia-coli-GCF_030198435-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198435-1/assembly.fa		GCA_030198435.1	SAMN33450438	From PRJNA938932 GCA_030198435.1;
Escherichia-coli-GCF_030198445-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198445-1/assembly.fa		GCA_030198445.1	SAMN33450439	From PRJNA938932 GCA_030198445.1;
Escherichia-coli-GCF_030198475-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198475-1/assembly.fa		GCA_030198475.1	SAMN33450435	From PRJNA938932 GCA_030198475.1;
Escherichia-coli-GCF_030198495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198495-1/assembly.fa		GCA_030198495.1	SAMN33450436	From PRJNA938932 GCA_030198495.1;
Escherichia-coli-GCF_030198505-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198505-1/assembly.fa		GCA_030198505.1	SAMN33450434	From PRJNA938932 GCA_030198505.1;
Escherichia-coli-GCF_030198535-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198535-1/assembly.fa		GCA_030198535.1	SAMN33450433	From PRJNA938932 GCA_030198535.1;
Escherichia-coli-GCF_030198555-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198555-1/assembly.fa		GCA_030198555.1	SAMN33450430	From PRJNA938932 GCA_030198555.1;
Escherichia-coli-GCF_030198575-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198575-1/assembly.fa		GCA_030198575.1	SAMN33450432	From PRJNA938932 GCA_030198575.1;
Escherichia-coli-GCF_030198595-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198595-1/assembly.fa		GCA_030198595.1	SAMN33450437	From PRJNA938932 GCA_030198595.1;
Escherichia-coli-GCF_030198605-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198605-1/assembly.fa		GCA_030198605.1	SAMN33450429	From PRJNA938932 GCA_030198605.1;
Escherichia-coli-GCF_030198635-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198635-1/assembly.fa		GCA_030198635.1	SAMN33450431	From PRJNA938932 GCA_030198635.1;
Escherichia-coli-GCF_030198655-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198655-1/assembly.fa		GCA_030198655.1	SAMN33450428	From PRJNA938932 GCA_030198655.1;
Escherichia-coli-GCF_030198675-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198675-1/assembly.fa		GCA_030198675.1	SAMN33450427	From PRJNA938932 GCA_030198675.1;
Escherichia-coli-GCF_030198695-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198695-1/assembly.fa		GCA_030198695.1	SAMN33450425	From PRJNA938932 GCA_030198695.1;
Escherichia-coli-GCF_030198705-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198705-1/assembly.fa		GCA_030198705.1	SAMN33450424	From PRJNA938932 GCA_030198705.1;
Escherichia-coli-GCF_030198735-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198735-1/assembly.fa		GCA_030198735.1	SAMN33450426	From PRJNA938932 GCA_030198735.1;
Escherichia-coli-GCF_030198755-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198755-1/assembly.fa		GCA_030198755.1	SAMN33450423	From PRJNA938932 GCA_030198755.1;
Escherichia-coli-GCF_030198775-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198775-1/assembly.fa		GCA_030198775.1	SAMN33450419	From PRJNA938932 GCA_030198775.1;
Escherichia-coli-GCF_030198785-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198785-1/assembly.fa		GCA_030198785.1	SAMN33450421	From PRJNA938932 GCA_030198785.1;
Escherichia-coli-GCF_030198795-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198795-1/assembly.fa		GCA_030198795.1	SAMN33450422	From PRJNA938932 GCA_030198795.1;
Escherichia-coli-GCF_030198805-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198805-1/assembly.fa		GCA_030198805.1	SAMN33450420	From PRJNA938932 GCA_030198805.1;
Escherichia-coli-GCF_030198845-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198845-1/assembly.fa		GCA_030198845.1	SAMN33450418	From PRJNA938932 GCA_030198845.1;
Escherichia-coli-GCF_030198875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198875-1/assembly.fa		GCA_030198875.1	SAMN33450415	From PRJNA938932 GCA_030198875.1;
Escherichia-coli-GCF_030198895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198895-1/assembly.fa		GCA_030198895.1	SAMN33450416	From PRJNA938932 GCA_030198895.1;
Escherichia-coli-GCF_030198905-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198905-1/assembly.fa		GCA_030198905.1	SAMN33450417	From PRJNA938932 GCA_030198905.1;
Escherichia-coli-GCF_030198935-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198935-1/assembly.fa		GCA_030198935.1	SAMN33450414	From PRJNA938932 GCA_030198935.1;
Escherichia-coli-GCF_030198945-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198945-1/assembly.fa		GCA_030198945.1	SAMN33450413	From PRJNA938932 GCA_030198945.1;
Escherichia-coli-GCF_030198975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198975-1/assembly.fa		GCA_030198975.1	SAMN33450411	From PRJNA938932 GCA_030198975.1;
Escherichia-coli-GCF_030198995-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030198995-1/assembly.fa		GCA_030198995.1	SAMN33450412	From PRJNA938932 GCA_030198995.1;
